RegionID,RegionName,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
12447,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,165200,165000,164900,164600,164300,164000,163900,163900,164200,164700,165100,165400,165600,165800,166100,166500,167200,168000,169200,170600,172600,174700,176600,178200,179700,181100,182400,183600,185000,186600,188400,190400,192800,195400,197900,200100,202400,204800,207000,209200,211200,213200,215100,217000,219200,221500,223800,225700,227700,229600,231500,233400,235200,237100,239000,241000,243200,245600,248000,250400,252800,255200,257500,259800,262100,264400,266900,269600,272700,276000,279600,283300,287200,291400,296000,300800,305900,311300,316900,322800,328600,334200,339700,345300,351100,357000,363400,370200,377200,384400,391800,399500,407600,416200,425500,435500,446400,457700,469200,480500,491300,501300,510500,518700,526000,533100,539900,547000,554400,562200,570600,579400,588100,596500,604600,611700,618000,623500,628500,633400,637800,641400,643900,644700,643500,641200,638700,636000,633600,631500,629100,626500,623400,619700,615100,609400,602300,594700,587200,579700,572200,564400,555500,545300,533400,520900,508700,498600,490600,483900,477300,471100,465100,459700,454000,447800,440800,433200,427100,424300,423900,424500,425700,427100,428200,429200,429800,428400,427700,429100,429600,427200,425100,422700,420300,417900,415700,412600,409900,408400,406800,404500,402700,401300,399100,396500,394400,392700,391100,390100,389800,390400,393000,396700,399800,402400,405200,408400,412100,417100,423000,428400,434400,442900,452000,460700,468800,476000,482200,487700,492200,495900,498700,501200,504800,509300,513300,517300,521900,526400,529600,532200,534500,536100,538800,543700,548900,552600,556000,559400,562600,565900,568700,571700,575600,579900,584300,588900,592400,595900,599900,603900,607800,613200,619600,626100,631400,636400,641400,645900,650000,654100,657300,660000,663300,667100,671900,676600,681300,685700,689800,696000,704100,709200,710700,711600,713000,714900,717300,720200,724400,728100,730300,733000,734700,734000,733000,733800,733700,733500,735100,738000
46298,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,42,162500,162400,162400,162200,162100,162100,162100,162300,162700,163200,163700,163800,164100,164400,164700,165100,165700,166600,167600,169000,170800,172900,174900,176600,178300,179800,181200,182600,183800,185100,186500,188000,189700,191600,193400,195000,196500,198000,199500,201000,202300,203800,205300,207100,209100,211500,213700,215800,218000,220100,222300,224300,226300,228300,230200,232100,234200,236500,238700,240700,242800,244900,247100,249500,251900,254300,257000,260000,263400,267200,271100,275200,279600,284100,288900,294000,299300,304800,310500,316400,322100,327400,332300,337400,342500,347600,353100,358900,365000,371400,378000,384900,392300,400300,409000,418600,429200,440200,451400,462200,472300,481700,490200,497700,504400,510800,516900,523000,529200,535500,542100,548800,555300,561500,567200,572200,576600,580500,584100,587600,590600,592800,594000,593500,591200,588100,584800,581200,577700,574500,571300,567900,564100,559900,555400,550200,544000,537600,531200,524900,518400,511700,503900,494700,483900,472700,462400,454700,449400,445700,442000,438500,435300,432500,429600,426300,422200,417500,414200,414000,415700,417900,420300,422300,423800,425100,425700,425000,425900,428400,428600,425400,423000,421000,419100,417400,415600,412700,409900,407500,404400,401100,398800,396500,392600,388100,384400,381100,378600,377400,377200,378300,381500,385600,389000,391600,394600,397800,401200,406500,412600,417900,423700,431300,438800,445900,453600,461600,468400,473400,477000,479700,481600,483300,485700,488900,491700,494400,497500,499900,500700,501500,502900,503900,505800,509200,512700,515300,518300,521500,524600,527200,529300,532200,536400,540200,542900,545600,548200,551400,554300,556400,558600,562200,566400,570600,573600,577200,581800,585800,588700,591200,593200,595200,597600,600600,605300,610000,613800,616700,618700,622200,626900,629900,630300,629900,629500,630600,632500,634400,636700,638700,640100,643200,645800,646200,645900,646500,645600,644500,645500,648400
16764,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,60,171200,170900,170600,170200,169900,169600,169300,169300,169400,169600,169700,169600,169600,169700,170100,170700,171600,172700,174100,175700,177600,179700,181600,183200,184800,186200,187600,188900,190200,191500,192700,193900,195300,196800,198000,199000,199900,200900,201900,203000,204300,205900,207800,210000,212700,215700,218600,221400,224300,227100,230000,232700,235400,238000,240600,243100,245700,248100,250300,252200,253900,255600,257300,259100,261200,263600,266100,269000,272100,275500,279100,282700,286600,290800,295400,300300,305400,310600,316000,321300,326400,331200,335900,340900,346200,351900,358000,364700,372100,380000,388300,397000,406200,415800,426100,437400,449600,462000,474100,484700,493300,500000,505600,510600,516000,521900,527900,534000,540200,546300,552700,559400,566100,573000,580100,586900,593500,599700,605300,610400,614700,618100,620700,621800,621400,620200,618400,615900,613400,611300,608900,605500,601000,596200,590700,583400,574700,565600,556600,547200,536900,526100,515000,503300,491300,480300,470200,460900,453000,446300,440100,434200,428300,422400,416000,408400,400200,392000,385800,382900,382800,384000,386000,388200,390200,391200,390800,391500,394200,396600,396600,395400,394100,392800,390600,386700,383200,381200,380400,379500,378400,377000,375700,374600,373100,369900,367100,367000,367700,366900,366800,368100,369500,371300,374100,377800,381100,385000,389400,393700,398200,404000,410800,418700,428000,436500,444200,450000,454300,457600,460400,462000,463000,465300,468700,470900,472000,474000,475800,476900,478200,480000,482200,485200,487500,489200,491200,493700,495800,498300,501400,504600,508100,512700,516300,519400,523300,527200,530000,533300,536200,538300,540600,543600,546700,549800,553700,557600,561100,565700,570400,573700,576100,578100,579800,581600,583300,585500,588600,592400,596100,600800,604500,606000,606400,608200,610600,613400,616400,617700,618500,620200,621900,621900,621600,621000,621000,621900,622900,624000,627000,630900
47568,Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange County,61,151800,151400,151100,150700,150500,150300,150200,150300,150500,150900,151200,151400,151700,152100,152600,153300,154100,155000,156000,157200,158600,160100,161600,162800,163800,164800,165600,166400,167000,167500,168000,168500,169100,169800,170500,170900,171300,171800,172400,173200,174200,175400,177000,178900,181200,183700,186200,188700,191200,193700,196200,198800,201400,204000,206700,209500,212400,215400,218300,220900,223500,226100,228700,231300,234000,236800,239600,242600,245700,248900,252100,255400,258800,262600,266700,271000,275600,280400,285200,290100,294900,299500,304300,309500,315100,320900,327100,333800,340900,348400,356400,364500,373000,381800,391200,401400,412400,423700,434800,444900,453600,461000,467900,474400,481300,488300,495300,502500,510000,517800,526200,534600,542500,550200,557700,565200,572500,579400,585800,591800,597300,602200,606500,609200,610400,610800,610500,609500,608700,608100,607200,605400,602700,599500,595500,589200,580700,571500,562100,552500,542100,531000,519200,506100,491600,476700,461400,446700,434200,423200,412400,401900,391700,381500,371200,360000,348100,336300,326800,321200,319200,318900,319500,320700,322200,323300,323300,324100,326800,330000,331300,331800,331600,331200,330500,328600,326100,324900,324600,324200,323600,322700,322500,322200,321100,319400,318300,318600,319600,319200,318900,320700,322800,325200,328600,333000,337100,341700,346100,349300,352400,357200,363700,371300,379800,388100,395800,401500,404700,406000,406800,407400,408000,409700,411800,412900,414100,415900,415900,414900,415000,416000,417600,420400,422900,424900,427500,430800,433500,436300,439500,443000,446700,451200,454700,458100,462300,466100,468500,470200,471300,472700,475200,479400,483900,488000,492200,496900,500500,504400,509700,514900,518900,523100,527300,530600,533100,535600,538100,541600,546300,552100,556600,558700,559200,560700,563300,566700,570200,572500,574600,577000,579200,579800,579800,578900,578600,578800,578100,576900,578200,581300
52650,Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange County,104,279700,279100,278500,278100,277900,277700,277800,278100,278600,279400,280200,280700,281400,282200,283100,284200,285400,286800,288400,290400,293000,295900,299100,302200,305700,309500,313500,317700,322000,326300,330500,334600,338700,342500,345800,348400,350700,352700,354500,356400,358300,360500,363000,365800,369100,372700,376200,379600,382900,386200,389400,392700,395800,399200,402700,406400,410300,414100,417700,420900,423900,426800,429700,432900,436300,440100,444100,448300,452600,456900,461200,465300,469500,473800,478700,484200,490200,496600,503500,510600,517400,523600,529400,535600,542700,550600,559400,569200,579800,591000,602800,615100,628400,643100,659500,677600,697000,716500,734600,749800,761300,769000,774200,778000,781500,785100,788600,791900,794700,797300,800500,805100,811000,817900,825400,833000,840500,847500,853900,859600,864100,866800,867700,866500,863700,859800,855200,850000,845100,840600,836000,830000,822200,813100,802900,791500,779800,769100,759300,749900,739900,729200,718500,708600,699900,693900,690400,688300,687100,686800,687000,687900,688800,689300,688800,686700,683600,680300,678500,679300,682600,686800,691400,696000,699800,702100,702200,701300,703600,707300,707600,707200,708400,708100,705300,699400,693500,691000,690500,688900,685200,680600,678800,679600,678900,676200,674000,675300,678000,677900,677600,681200,685500,689100,692300,694800,696100,700400,707400,715200,724400,735000,746900,761000,778900,795800,810800,820800,827600,833000,838300,840200,840600,844500,851300,856000,857400,860000,861800,861000,860000,860700,861600,864200,865700,865400,866000,869300,871300,871700,872700,875900,880400,886000,889200,891700,895600,898100,896900,895900,896800,898300,899700,903000,908700,914500,921500,928300,932500,936800,942100,945200,945500,945300,947400,952200,956700,958800,958400,958500,960200,967000,976200,983200,987800,994600,1001700,1008000,1015300,1018600,1020000,1021800,1024500,1024500,1023700,1019700,1014900,1010800,1006300,1000300,995300,994300
54311,Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,114,196700,196400,195900,195400,194800,194300,194000,193800,194100,194600,195000,195300,195700,196300,197000,197800,198800,199900,201200,202700,204600,206600,208500,210000,211300,212500,213500,214500,215600,216800,218300,220000,222300,224800,227300,229700,232200,234700,237000,239200,241200,243200,245100,247000,249000,251200,253100,254800,256400,258100,259600,261100,262500,263800,265200,266500,268000,269700,271300,272700,274000,275100,276200,277300,278400,279700,281300,283300,285800,288800,292100,295400,299000,302800,306900,311300,315900,320900,326200,331900,337700,343000,348000,353400,359100,365200,372100,379500,387200,394800,402400,409900,417500,425200,433200,441600,450500,459500,468400,477100,485200,492800,499700,505800,511500,517300,523300,529900,537000,544400,552200,560400,568300,575800,582800,588700,593500,597600,601200,604600,607600,609800,610700,609900,607100,603300,599500,595600,592200,589200,586000,582300,578000,573000,567300,560700,553000,545100,537200,529400,521400,513100,503800,493400,481600,469800,458900,450300,444100,439200,434500,430200,426400,422900,419200,414800,409600,403900,399300,397600,397800,398600,399700,401000,402600,404000,404700,403600,403500,404900,404900,402100,400100,398300,396800,395600,393700,390200,387100,384700,382400,379500,377400,375600,372900,369400,366000,362000,358400,356200,355500,355800,357800,361000,363800,365500,366800,368500,370700,373800,377400,380800,385300,392900,400900,408400,415600,422800,428700,433600,437500,440900,443400,445100,447300,450500,453500,456200,459000,461600,463200,464800,466300,467700,469900,473600,477200,479000,479900,481300,483800,486400,488500,490600,493500,496600,500100,503900,507300,510900,514300,516800,518400,520900,524600,529100,532400,536300,541200,545500,548300,550300,552000,554000,556400,559300,563400,567300,570300,572700,575000,578700,582800,584400,584000,583400,582400,581800,582100,583500,586500,589400,591000,593200,594900,594300,593000,593100,592700,592700,593500,594700
13150,Oxnard,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,121,162300,162300,162100,161900,161700,161400,161100,160900,161000,161300,161500,161400,161400,161500,161700,161900,162200,162500,163000,163600,164700,166000,167200,168300,169300,170400,171500,172600,173700,174800,175900,176900,178200,179600,181000,182200,183500,184800,186200,187500,188900,190200,191600,193000,194600,196500,198300,200000,201800,203900,206200,208800,211600,214300,217100,219900,222600,225300,227800,230100,232200,234100,236100,238100,240100,242300,244700,247300,250300,253700,257300,260900,264800,269000,273600,278600,284000,289700,295500,301700,308100,314400,320800,327400,334100,340500,346600,352400,358200,364500,371400,378800,386600,394600,402600,411100,420300,430400,441200,452300,463200,473900,484200,494000,503600,512700,521000,528700,535900,542300,548400,554100,559400,565000,570500,575300,579200,582700,586300,590400,594600,598700,601800,602400,600100,596300,591600,586200,580900,576600,572900,568700,563600,558400,552300,544600,535400,526000,515900,504500,492100,480000,468500,456100,442500,429400,416600,404700,394600,386300,378300,370200,362000,354500,347400,339400,330300,321200,313600,308900,306500,305400,305100,305100,306200,307800,308500,309700,312300,312500,310200,309000,309500,308700,307100,306900,307200,306500,304400,301600,299000,298900,300800,300700,297500,293800,291000,288200,286100,283500,282200,282600,284200,285500,286900,289100,291600,292900,295100,298700,300700,301900,304600,309200,314900,321700,329000,337300,345400,352500,356800,359600,363500,368000,372200,376500,379500,381600,383700,384800,385400,387500,390000,393400,397400,401000,403400,405100,407100,409700,411400,412800,414500,417000,420000,422500,423100,424400,427100,429700,431300,432900,433500,433600,435100,438300,441900,444200,446200,449100,452800,455900,458600,460900,463300,464800,465700,467300,471000,475000,479300,484500,488800,489400,489800,492800,496100,497900,499100,501200,502900,504100,505200,507800,511700,515200,516100,514900,513600,513400,514100,514700
45457,Glendale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,135,242100,242200,242200,242200,242100,242100,242200,242600,243500,244600,245800,246900,248200,249800,251600,253700,256100,258700,261500,264500,267900,271400,274600,277200,279600,281800,283800,285800,287700,289800,292100,294600,297400,300500,303300,305800,308300,310800,313200,315500,317700,319900,322100,324500,327100,330000,332600,334900,337100,339300,341400,343500,345700,348100,350700,353500,356500,359800,362900,365700,368300,370700,373000,375100,377200,379300,381700,384400,387600,391200,395200,399400,404000,409000,414500,420400,426700,433200,440000,447200,454500,461400,468100,474900,481700,488200,494900,502100,509700,517800,526400,535800,545900,556800,568500,581200,595000,609500,624200,638400,651400,662900,672700,680500,686900,692800,698800,705300,712400,719900,727900,736200,744100,751800,759000,765400,771000,776100,780600,785100,789200,792100,793600,792900,789700,785300,780400,775100,769700,764800,760000,755600,751100,746500,741800,736800,730500,724000,717700,712100,706500,700500,693000,683900,672400,659900,648200,639700,633900,629500,625300,621800,618800,616400,613500,610100,605600,599900,595900,596700,600400,605000,610300,615500,619800,622900,624500,622100,620700,622300,622700,618100,615300,612400,608700,604000,600300,595900,592000,588700,585700,582400,581100,579400,574600,569400,565700,562900,561100,560900,560500,562100,567500,573800,576600,577100,578200,582100,588100,595500,602000,607400,615400,627100,637400,647400,659000,670400,679300,684700,687200,689500,691100,692700,696400,701700,706300,710900,715600,721000,725300,728500,731100,732600,734200,737900,742700,746900,751700,755500,758100,760300,762900,767500,773900,780100,786700,793100,796900,800400,804100,806700,809700,816800,825800,832500,834800,838300,844500,851000,856000,859600,860800,862500,866600,871200,875900,880800,886100,890800,895000,902200,911700,918400,921300,923100,925700,928800,932000,936500,942900,947600,949100,950500,950500,948400,947400,946900,943700,941000,942000,945400
25218,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,140,239200,239300,239300,239300,239500,239600,239900,240500,241400,242600,243800,244700,245900,247100,248700,250400,252500,254800,257400,260300,263700,267300,270500,273400,276300,279100,281800,284500,287200,289700,292200,294700,297200,299600,301600,303100,304700,306300,308200,310200,312500,315100,318000,321200,325000,329000,332900,336500,340300,344000,347800,351600,355500,359500,363600,367700,371800,375700,379100,382000,384500,386600,388700,390800,393200,395900,399000,402600,406500,410600,415000,419700,424900,430600,437100,444200,451800,459500,467400,475300,482700,489700,496600,503700,511200,519100,527600,536800,546800,557400,568400,579600,591100,603500,617000,631700,647400,663000,677800,690600,700700,708200,714200,719500,724800,730400,736100,742000,747900,753700,759600,765800,771800,777700,783600,789500,795800,802200,808100,813500,817600,819500,819200,816500,812000,806800,801200,795400,790100,785800,781700,776600,770500,763800,756800,749000,740400,732000,724000,715400,705400,694500,683100,672100,662200,654900,650000,646600,644000,642500,641900,641700,641500,641000,639300,636100,632000,628100,625800,625500,626800,628900,631900,635100,638100,640400,640700,639300,639000,639900,638100,634400,632400,630900,627400,621100,614600,610900,608800,606700,603500,599600,596800,595800,594100,590000,586000,586200,588800,589400,590100,593600,596500,598200,601100,605900,611100,618200,626200,632200,636700,642800,651300,663500,678700,691500,701600,709400,715000,717800,720000,722600,725200,727500,729300,728500,728000,729400,729100,725800,723400,723300,724600,726300,727100,728000,730900,735700,738800,741100,743900,747800,752800,759000,763800,768300,772800,776400,778100,780400,783700,787700,792100,796800,800700,804100,808300,812200,815600,820400,825600,829000,830000,831300,834100,837100,838900,840900,842800,845900,849700,855200,859400,859900,859500,862000,866400,870600,874400,875100,876300,878200,880600,880900,880700,879400,878600,878900,879300,879500,881300,884500
5534,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,155,101600,101100,100500,99800,99100,98400,97700,97100,96700,96400,96100,95700,95300,94900,94600,94400,94200,94100,94100,94300,94700,95200,95600,95900,96100,96300,96500,96700,96900,97200,97600,98200,99100,100200,101300,102500,103600,104800,105900,107000,107900,108800,109500,110300,111300,112400,113300,114100,115000,115900,116900,117900,118900,120000,121100,122300,123700,125000,126300,127500,128600,129700,130800,131800,132700,133700,134800,135900,137200,138600,140100,141600,143000,144500,146100,147700,149500,151400,153600,155800,158100,160200,162400,164700,167200,169900,172800,176000,179500,183000,186700,190400,194300,198600,203200,208400,214300,220600,227300,234200,240900,247400,253700,259400,264900,270300,275100,279800,284500,289100,293800,298600,303300,308000,312600,316700,320400,323800,326800,330100,333700,337200,340200,342500,343500,343800,343500,342500,341300,340300,338700,336800,334900,332700,329700,326000,321300,316200,310700,304800,298700,292500,285200,276700,267300,257700,247700,238700,231000,224100,217100,210000,203000,196500,189800,182900,175900,168900,162300,157100,153100,149900,147500,145700,144200,142400,142100,141800,141200,141000,141700,140900,140300,139400,138600,138200,138300,137900,136900,136300,135700,134900,134500,134700,134400,133500,132800,132200,131400,131100,131100,131500,132300,133400,134100,134800,135500,136600,138000,140000,141900,143800,145900,148600,151700,155100,158700,162200,165300,168400,171200,173600,175400,177000,178700,180600,182700,184600,185900,186800,187500,188400,189400,189800,190600,192300,194200,195500,196600,197800,198900,200200,201700,203300,204900,206700,208400,210200,211800,213800,215900,217700,219200,221500,224400,227100,228800,230500,232900,235600,237900,240400,243100,245600,248200,250900,253900,256900,260000,262900,265400,268800,272800,275400,276700,278300,279900,281300,282800,284200,286100,287800,289200,290800,291800,291200,290900,291600,291900,292200,293200,294500
