RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
96107,90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,18,151500,151800,152000,152200,152300,152500,152700,152800,153100,153600,153800,153800,153700,153600,153500,153600,153700,154100,154600,155400,156500,157900,159100,160200,161300,162200,163000,163800,164600,165300,166100,167000,168200,169500,170700,171700,172600,173600,174500,175300,176200,177100,178100,179200,180700,182500,184300,186000,187700,189500,191300,193100,194900,196700,198600,200600,202800,205100,207300,209400,211400,213400,215400,217400,219400,221600,224100,226800,229700,232900,236300,239700,243200,246800,250600,254700,259000,263600,268600,274200,279900,285100,289600,294300,299200,304400,310300,316600,323100,329800,336600,343400,350300,357500,365000,372900,381300,390200,399600,409200,418400,426800,434400,441200,447900,455200,463100,471900,481300,490700,500000,509000,517300,525200,532300,538200,543000,546900,550100,552900,555000,556400,557300,557100,555500,553200,550900,548400,546100,544500,543100,541500,539300,536500,533000,528500,522400,515600,509100,502700,496100,489600,482400,474000,464000,453500,443500,434800,427100,420100,413300,406800,400500,395000,389500,383300,376000,368300,362000,358800,357800,357900,359000,360300,361300,362500,363300,363400,365000,367700,368100,366300,366900,368400,369300,370000,370700,369300,367000,365000,362800,361200,361000,360300,357800,354700,352500,350200,347600,345400,344300,344300,345600,347600,349800,351700,352600,353300,354700,358200,363200,367900,372600,379400,387400,394900,400900,406100,410900,414000,415300,416200,417500,419600,422300,424800,426900,428900,432700,438000,442200,445400,448500,450000,451100,453900,456900,460300,463800,467200,469800,471500,473800,479300,486400,492400,497400,501700,506600,511900,516500,520000,523300,526600,530300,534400,537400,541500,547600,553800,559200,564100,568200,571500,575400,580200,585400,588800,591200,593800,595000,598100,605300,611400,613500,616200,620200,625700,631700,637800,644800,651300,655600,659600,661500,660600,660200,661600,660400,658500,659000,661400
96027,90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,36,338300,339900,341700,343500,345500,347700,350200,353000,356600,360700,364700,368500,372500,376600,381100,385800,390700,396000,401800,407900,414800,422200,429300,435800,442100,447900,453500,458800,463900,468700,473500,478300,483600,489200,494400,498800,503100,507400,511600,515800,520100,524500,529300,534300,540000,546100,551800,556400,560400,563900,566800,569200,571300,573300,575500,577900,580700,584200,587500,590300,592600,594600,596400,598100,600000,602300,605500,609600,614700,621000,628000,635100,642700,650700,659500,668900,678800,689400,700700,713800,727400,739200,749300,759900,770500,781200,792500,804900,818000,830900,843000,854100,865200,877400,891900,909000,928400,948800,969400,990100,1011500,1034200,1057900,1081000,1103300,1125000,1147200,1171500,1199400,1230400,1263200,1294600,1322000,1344800,1363100,1376500,1386500,1395600,1403900,1411200,1415900,1418200,1418900,1417300,1413300,1409200,1406300,1404000,1403000,1403100,1401500,1396300,1387100,1376000,1364900,1353300,1340800,1329700,1319400,1308800,1298000,1288400,1278300,1265500,1248200,1229300,1211600,1197600,1187800,1182200,1177600,1172300,1166900,1162900,1159000,1153000,1143200,1131000,1122700,1122800,1128800,1137400,1145400,1150000,1152800,1153800,1154500,1155200,1159300,1160000,1152900,1143500,1139900,1131200,1117500,1104000,1094500,1083900,1069200,1054300,1044500,1040000,1036200,1023800,1000400,975300,956400,945800,940800,939000,937200,936600,941000,953700,971100,990600,1007800,1025400,1044500,1068700,1089200,1103100,1121500,1147200,1169400,1185700,1199300,1212400,1227900,1241900,1252800,1259400,1263700,1268600,1275800,1285200,1296700,1308000,1320100,1335300,1349200,1360300,1375000,1387200,1393300,1402100,1423900,1450300,1477100,1499600,1518200,1537200,1555300,1575800,1600000,1621800,1635400,1651500,1664200,1667800,1660100,1657000,1660100,1666500,1681100,1702100,1712800,1722100,1742700,1766400,1782200,1796600,1807700,1815400,1824300,1839500,1861400,1886800,1897400,1895800,1907000,1924500,1933600,1933400,1933400,1936000,1944800,1938700,1920700,1905600,1901800,1901000,1899500,1900200,1902300,1898300,1896500,1891500,1867900,1842100,1826300,1817400
96015,90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,85,230700,231100,231600,232000,232500,233000,233700,234600,236000,237800,239600,241200,242900,244800,246700,248800,251100,253600,256400,259400,263000,267000,270800,274400,278100,281700,285200,288800,292200,295600,299100,302600,306400,310200,313700,316500,319200,321500,323700,325700,327600,329600,331800,334100,336900,340200,343500,346400,349300,352200,355000,357700,360400,363100,365900,368700,371600,374700,377600,380100,382300,384400,386400,388400,390600,393200,396400,400200,404700,409900,415500,421300,427300,433400,439800,446400,453100,460200,467700,476100,484900,492700,499800,507600,516100,525300,535700,547700,560400,573400,586600,599600,612400,625100,638000,651500,666000,680800,695300,708800,720600,730700,739000,745600,751500,757800,764500,771500,778400,784700,790500,796000,801000,806200,811500,816600,821800,827400,832700,837300,840900,843200,844300,844100,841900,838700,834500,828800,822200,816300,810700,805600,801200,797100,792800,788100,782300,776800,772300,768000,763600,759300,752300,742700,731500,720700,711700,706500,703600,702100,701300,700800,701200,702900,703500,702600,700400,697500,695400,695500,695900,696400,696900,697700,698000,696700,697300,697200,697200,699000,700200,697600,699700,702200,701600,700700,701100,698400,695000,694600,693400,690700,688500,686400,681700,676400,671900,667500,662000,658700,658500,658800,662600,670000,675900,679400,682600,688000,696500,708300,721100,732600,744200,758600,773000,785200,799400,815700,829800,841200,852900,862300,866100,866100,869000,876100,883200,888000,891400,893800,894600,894800,894800,894400,895300,900200,906600,911700,918500,927300,935500,943000,950600,959500,971500,984300,999200,1016900,1032000,1047100,1063200,1074800,1080800,1090900,1106300,1120800,1129200,1144600,1170200,1194400,1211800,1224200,1229200,1239000,1261800,1289000,1309400,1325600,1339400,1351100,1355900,1368600,1391400,1409900,1417300,1419700,1422300,1425700,1432000,1436900,1437500,1424300,1416300,1422200,1419800,1402700,1393800,1392000,1379300,1361400,1349900,1348500
96239,90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,97,127400,127400,127300,127100,127000,126800,126600,126500,126600,126800,126800,126700,126600,126500,126400,126400,126600,126900,127500,128200,129100,130300,131300,132000,132600,133100,133300,133400,133500,133600,133700,133800,134200,134700,135300,135700,136300,136900,137500,138300,139100,140000,141000,142100,143300,144700,146100,147400,148600,149800,151000,152100,153300,154300,155500,156700,158100,159500,160900,162300,163600,165100,166500,167900,169400,171000,172800,174600,176700,179000,181300,183600,185900,188300,190900,193500,196300,199200,202200,205600,209000,212200,215200,218600,222400,226600,231400,236600,242000,247400,252900,258600,264700,271300,278400,286100,294400,302900,311500,320100,328500,336600,344400,351800,358800,365700,372300,378700,385300,391700,398100,404600,411000,417400,423700,429400,434600,439600,444300,449000,453500,457500,460700,462600,462800,462300,461400,460100,458700,457700,456500,455300,453900,452300,450000,446700,441800,436400,430600,424400,417800,411000,403500,395100,385600,375700,365400,355500,346100,337400,328900,320700,312600,305100,297600,289700,281300,272500,265100,261300,260300,260700,262000,263300,264400,265300,265900,265000,263900,264100,264500,263200,262200,261000,260000,260100,260600,259600,258100,257100,256300,255400,254800,253900,252300,250200,248300,246400,245100,244800,245100,245900,247500,249700,251800,253900,256300,259200,261600,264000,266600,269300,273500,280700,288800,296300,302600,308100,312800,316300,318600,320300,321800,322700,323900,325700,327900,330200,333100,336400,338700,340400,342600,344500,346000,348700,351400,352700,353900,355300,356600,357700,358800,361200,364200,367000,370100,374000,378000,381900,385100,388000,390800,393700,396700,399800,402400,405700,409500,413200,415800,417800,419400,421600,424300,427100,430100,433300,436800,440300,443600,447500,451500,453800,454800,455700,457100,458700,460000,461600,464500,466900,468000,469500,471200,472000,472100,472500,471900,471400,472700,474900
96193,90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,99,145800,145600,145400,145100,144800,144500,144300,144200,144200,144400,144500,144400,144300,144300,144300,144300,144400,144700,145100,145600,146500,147500,148400,149100,149600,150100,150400,150700,151000,151400,151800,152400,153300,154400,155400,156300,157100,157900,158600,159400,160000,160700,161400,162200,163200,164400,165600,166700,167800,168900,170000,171100,172100,173200,174300,175400,176700,178300,179900,181500,183100,184800,186500,188200,189900,191600,193400,195300,197500,199800,202300,205000,207800,210900,214300,218000,221900,226100,230500,235200,240000,244300,248300,252300,256500,260800,265400,270300,275300,280400,285600,290900,296400,302400,309000,316400,324500,333000,341600,350100,358300,366200,373700,380600,387100,393300,399300,405400,411600,418000,424600,431500,438400,445400,452500,459100,465400,471200,476400,481700,486800,491200,495000,497400,498100,497700,496900,495600,494300,493100,491700,490100,488100,485300,481800,477200,471300,464800,457900,450800,443300,435500,426800,417300,406100,394100,382100,372000,364300,357800,351200,344600,338300,332300,326400,320200,313500,306300,300300,297000,295600,295000,294700,294700,294900,295300,295800,294600,294000,295800,297600,296300,294900,294000,293400,292400,291400,290000,289000,288800,288600,287800,287400,287100,285700,283100,281500,280900,280900,280900,280900,281200,283000,285100,286700,288400,290000,292300,295300,298800,302000,305200,308800,314100,319800,325800,331800,337600,342600,346500,349200,351700,354000,355600,357500,360400,363200,365400,367600,369500,370200,370300,370600,370800,371400,373700,377100,380300,383400,386000,388000,390100,392900,396200,399600,402500,405000,407400,409400,411800,413900,415500,417200,420100,424300,428800,432000,435000,438200,441200,443800,446000,447500,449500,451800,454200,457500,460900,463700,466100,468700,472200,476300,478200,478000,477700,478200,479100,480200,481300,482900,484500,486400,489200,490600,490300,490300,491100,491100,491200,492700,494800
96025,90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,100,118700,118900,119000,119000,119000,119000,119100,119200,119500,119800,120100,120300,120400,120600,120900,121300,121800,122500,123300,124300,125500,126800,128000,128900,129700,130300,130800,131100,131200,131200,131200,131300,131500,131800,132100,132200,132500,132700,132900,133100,133200,133400,133600,133800,134100,134400,134600,134700,134800,134900,135000,135100,135300,135500,135800,136200,136800,137400,138100,138800,139400,140000,140600,141300,141900,142700,143600,144700,146000,147500,149200,150800,152400,154100,155800,157600,159400,161400,163400,165700,168100,170300,172300,174400,176400,178600,181000,183900,187200,190800,194500,198300,202300,206700,211500,216900,222900,229400,236500,244000,251500,258700,265400,271500,277800,284400,291500,299300,307500,315700,323900,332300,340800,349400,357800,365800,373200,379700,385400,390900,396300,401200,405600,409400,412600,415300,417400,418900,420000,420600,420700,420600,420100,418500,416000,413400,410400,407300,403900,400300,396500,392600,388000,382800,376200,368200,359000,349100,338500,328000,317600,307100,296500,286400,276400,266000,255000,243300,232000,222500,215100,209700,205900,203400,202200,202000,202300,201400,201000,203400,207500,210400,212600,214300,215800,217400,218500,218500,217900,217500,217300,217000,216900,217400,217900,217700,216900,215300,213700,212600,212000,211900,212800,214000,214900,215700,216200,216600,217300,218900,220600,221900,223800,227600,231900,236000,239900,243800,247500,250700,253700,256500,258800,260600,263100,266200,269200,272000,274200,276100,277800,279400,280800,282000,283400,285700,288400,290900,293800,297000,300000,302100,303600,306000,309800,314000,318500,322900,326300,329600,332200,333800,335900,340400,346300,352600,357300,361300,365300,369500,372700,375400,377800,380300,382700,384300,386400,389000,392100,396000,400400,405900,412200,416500,418000,418700,419500,420700,422800,425400,427800,429200,431200,434500,437200,437800,438100,438600,438300,439200,442100,444700
96990,92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange County,102,172700,172300,171900,171600,171300,171000,170900,170800,171000,171300,171600,171700,171900,172200,172600,173200,174000,175000,176200,177500,179200,181200,183100,184800,186500,188300,190000,191700,193500,195300,197100,198900,200800,202800,204500,206000,207300,208700,210100,211600,213200,214900,217000,219200,221800,224400,227100,229500,231900,234300,236800,239200,241700,244300,247000,249700,252700,255700,258500,261200,263700,266200,268500,270900,273400,275900,278700,281600,284700,288000,291400,294900,298600,302600,307100,312100,317400,323000,329000,335200,341300,347000,352100,357200,362300,367500,373200,379500,386500,394100,402400,411100,420200,430000,440600,452200,464700,477300,489500,500300,509000,515700,520900,525200,529400,533900,538900,544600,550700,556900,563300,570100,576800,583400,589800,595800,601500,606900,612000,616900,621100,624000,625700,625800,624600,622700,620400,617900,615700,613700,611400,608200,603800,598700,592600,585200,576700,567800,558900,549600,539600,528800,517800,506800,496300,487400,479700,473200,468100,464100,460500,457500,454600,451300,447400,442600,437100,431600,427400,425500,425700,427000,429200,431800,434000,435300,435700,434600,434000,435200,435700,434700,433600,432800,431200,427100,422400,420200,419700,419800,419400,416600,413600,412300,410300,406700,404300,405100,407300,407200,405300,404700,405200,406900,410200,414200,417800,421800,425000,427400,430300,435200,442600,452400,463700,473500,480700,485200,488500,491100,494000,496500,498500,501800,506200,509300,511500,513600,514400,514700,517000,520100,522000,523900,525500,526600,529000,532900,535400,538000,542200,546100,548800,552100,555000,557300,559800,562100,562500,562500,563300,564600,566500,569400,572200,575300,580000,585500,591100,597100,603200,607700,610500,613500,617400,621500,625500,629500,632400,635700,638800,643400,647800,650100,651400,654900,659900,664900,668800,670900,673800,677700,681400,682800,683200,682500,682900,683200,681700,679900,681600,685100
96007,90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,118,137200,137500,137800,137900,138000,138000,138100,138300,138600,139200,139500,139700,139900,140200,140600,141100,141800,142600,143800,145100,146800,148900,150900,152700,154700,156600,158400,160300,162200,164200,166200,168100,170200,172300,174200,175600,176900,178000,179000,180000,181000,182000,183300,184900,187000,189400,192000,194500,197200,200000,202800,205700,208500,211500,214500,217500,220600,223700,226700,229300,231800,234000,236200,238200,240300,242700,245400,248500,251900,255800,260100,264500,269200,274100,279300,284800,290600,297100,304000,312100,321300,330100,337600,344800,352100,359600,367500,375900,384100,391900,399400,406900,415000,424000,434200,445600,458000,470800,483800,496400,508500,519700,530000,539000,546800,554200,561700,569600,578300,587900,599200,612100,625400,638000,649100,657500,663600,668300,672100,675300,677500,678100,677100,674100,669000,663900,659500,655900,653200,651700,650600,649400,647400,644400,640300,635100,628100,620400,612600,604800,596800,589200,580700,570600,558400,545600,533800,524900,518400,513200,508300,503900,499900,497000,493800,489300,483400,476700,471500,469800,470300,471900,474500,477200,480400,483600,485100,483500,484900,491100,497000,496900,495900,494000,492000,491100,491300,489200,487300,489200,490700,489200,485900,483500,481400,478400,475100,472300,468100,464300,463400,464600,467700,474400,483100,491600,497700,505100,515700,527400,538900,549700,560500,573600,587100,598200,607600,618200,629600,640700,649400,656500,661500,663600,667000,673100,680200,686400,691600,694400,697200,701200,703900,705300,709500,719300,730300,738000,741300,741600,741100,741700,742100,743800,747200,751200,755500,762000,768800,775300,779300,783300,788300,796100,806500,816200,821100,827000,834600,841300,845000,849200,856200,866000,874800,883600,893700,903200,913200,925000,939000,953300,963000,962600,962100,964700,972800,981500,987500,990500,994200,990600,983200,982400,987600,990900,991300,989300,985000,981800,983100,986000
96987,92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange County,148,278700,278300,277900,277600,277500,277500,277900,278400,279300,280700,282000,283200,284600,286400,288600,291300,294400,298100,302300,307100,312700,318700,324500,330000,335400,340700,346000,351100,356100,360900,365600,370100,374700,379000,382700,385800,388500,391000,393600,396300,399200,402300,405800,409400,413400,417500,421300,424600,427900,431200,434600,438000,441400,444900,448700,452500,456500,460500,464200,467500,470400,473200,475900,478700,481900,485500,489700,494200,499200,504300,509500,514500,519800,525400,531500,538400,545900,553800,562100,570400,578300,585500,592400,600000,608100,616500,625600,635600,646700,658800,671500,684500,698100,712800,728800,746700,766600,787400,807400,824500,837400,846000,851600,855900,860300,865500,871400,877800,884000,889200,894100,898900,903300,907300,910700,913600,916300,918500,920100,921700,922600,921900,919900,917000,913500,910000,906200,902200,899000,896500,892400,886000,876900,865800,853800,841600,830100,819800,810200,800500,790000,778500,766700,756100,748000,742500,738700,735300,731700,728800,726500,724500,722600,720400,716500,711400,705600,699500,694000,691200,691300,693400,696000,698600,701200,703200,703800,698500,691200,686700,683600,678100,673100,668700,665300,660000,653700,649200,647300,646800,647000,645400,643100,642800,641700,636700,631200,630000,630300,627500,625800,629300,633000,635700,640000,646200,652600,661200,668900,673200,677900,686000,696100,708800,725400,742500,758300,769300,774600,777000,780900,786700,791700,796600,801400,804200,806700,810300,810600,808600,809700,813500,816100,817900,819200,821500,825400,830500,833100,833900,835600,839200,842300,845300,848500,853000,858600,862700,863800,865100,865900,866600,869500,874300,879600,885200,891100,895100,897600,902500,908700,911700,911500,912900,915600,917700,920100,925000,930900,937500,944100,950400,952600,951800,952700,955800,957500,959000,959900,957200,954200,952500,952100,950700,950800,950600,949600,946300,942300,940900,944300,948900
96047,90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,153,240500,240500,240500,240500,240500,240700,241100,241700,242700,244200,245700,246900,248300,249800,251600,253700,256200,259100,262700,266800,271700,277200,282800,288100,293700,299100,304600,309900,315100,320200,325100,329800,334700,339500,343800,347500,350800,353800,356400,358600,360500,362200,363900,365500,367400,369600,371600,373100,374400,375500,376500,377500,378800,380500,382900,386000,389800,394400,399300,404200,409100,413700,418200,422400,426300,430000,433900,437900,442200,446900,451900,457000,462200,467500,473200,479300,485600,492300,499400,507200,515100,521700,527100,533000,539700,547600,556900,567300,578100,588800,599200,609400,619900,631200,643600,657200,672000,687000,701600,715200,727700,739400,749900,758700,766200,773200,780000,786900,794300,802500,812000,822300,832600,842500,851500,858900,864700,869600,873200,875000,874500,871700,867100,860800,853000,845400,838700,832800,828100,825000,822500,820200,817900,815900,813800,811000,806600,801500,796400,791700,788100,785600,782100,776000,767200,757300,747500,739700,733800,729400,725200,721400,718500,716500,713700,708900,702500,695700,691000,690600,693500,698000,703000,707500,710800,711800,712200,712700,717400,724600,728500,726700,726500,725200,722800,719800,715000,708200,702700,698900,695600,691700,688300,686600,685600,683600,681200,679400,679300,680600,683000,687200,692100,698600,706400,713700,717200,721800,731100,744300,757300,769800,784600,803700,822200,839300,854600,867300,876900,885900,893900,902400,909700,915200,921500,930500,936900,941400,947600,954000,957900,963000,968800,975300,986900,1004100,1022200,1035900,1051700,1066200,1082700,1103400,1126100,1144300,1161200,1172400,1181500,1193300,1205200,1215800,1223200,1230200,1238300,1247100,1258600,1278400,1300700,1320000,1334700,1346800,1357000,1367600,1382600,1405100,1424300,1438400,1453500,1465500,1463400,1458000,1461100,1473100,1482900,1484300,1480000,1475400,1478000,1488200,1500900,1508500,1517000,1523000,1523000,1523400,1523400,1518200,1517000,1518400,1505900,1494600,1491900,1490800
