RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
118208,South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3,122700,122900,123100,123300,123400,123600,123700,123900,124100,124500,124700,124800,124800,124900,125100,125300,125600,126000,126600,127400,128500,129600,130600,131400,131900,132300,132500,132500,132400,132200,132100,132100,132300,132700,133100,133500,133900,134400,134900,135500,136000,136600,137200,137900,138700,139600,140400,140900,141500,142000,142400,142900,143300,143700,144100,144600,145100,145800,146500,147100,147700,148400,149300,150100,151000,152100,153300,154500,156000,157700,159400,161000,162800,164600,166600,168600,170700,172800,175100,177500,179800,182100,184300,186700,189300,192000,194900,198300,202000,206000,210400,215200,220300,225900,231800,238100,244900,251900,259000,266200,273400,280300,286900,293200,299500,306100,313000,320500,328800,337400,346500,355700,364800,373600,382100,389900,397000,403200,408500,413600,418700,423600,428300,432300,435300,437400,439100,440300,441500,442900,443900,444600,445000,444600,443400,441300,438000,434100,429700,424900,419800,414300,407400,399000,389400,378900,368100,357500,347100,337200,327300,317400,307800,298800,289500,279700,269500,259000,249300,242000,236800,233200,230900,229600,229300,229000,229100,228900,228600,228800,229200,228500,228300,229000,229500,229500,228700,227700,227300,226900,226400,226300,226900,227600,227400,226300,225300,224600,223400,222000,221300,221700,223500,226300,229000,231400,233500,235100,236300,237900,240000,241800,244200,248100,252400,256600,260800,264200,267200,270400,273300,275700,277900,280400,283100,285400,287600,290200,292900,295800,298200,299800,301400,303000,305800,309900,314700,319500,324400,328000,330600,332900,334700,336500,339500,343300,346800,349700,351300,352600,353800,354900,356600,360100,364800,370200,374900,380600,387200,393400,397700,401400,405000,409000,412300,415800,421000,426600,431600,436300,440300,445200,451600,456900,459600,461800,464200,466300,468300,470700,473400,475300,478000,482500,485900,487100,488700,491000,491800,492700,495600,499100
268496,Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,7,111300,111300,111100,111000,111000,111000,111000,111200,111400,111800,112200,112500,112900,113300,113800,114300,114900,115500,116300,117200,118300,119500,120600,121500,122300,122900,123300,123400,123400,123300,123200,123100,123000,123100,123200,123200,123200,123200,123400,123500,123700,124000,124400,124900,125600,126400,127200,127900,128500,129100,129600,130000,130300,130600,130900,131200,131700,132200,132800,133400,133900,134500,135000,135500,136100,136700,137300,138000,138900,139900,141000,142100,143200,144300,145500,146800,148100,149600,151300,153100,154900,156700,158600,160600,162700,165100,167500,170000,172600,175200,178100,181200,184600,188200,192000,196000,200400,205100,210400,216200,222600,229300,236200,242900,249600,256200,262600,269100,276200,283600,291500,300000,308600,317200,325300,332800,339600,346000,352100,358500,365000,371300,377200,382500,386700,389900,392300,394100,395800,397400,398700,399700,400300,400300,399600,398400,396500,393900,390500,386200,381300,376400,371000,365000,357800,349700,340700,330400,318700,306800,294900,282800,270700,259100,247700,235900,223400,210400,198600,189800,183400,178600,174900,172400,170800,170100,170100,170100,170200,171100,172000,171900,171700,171900,172600,173800,175000,175200,174500,174000,174600,175800,177200,178800,180400,180800,181100,181100,180700,180000,179700,180200,181600,183800,185600,186600,186900,187600,189000,191600,194800,197700,200900,204500,208000,211400,214900,218500,222000,225300,227800,229500,230900,233200,236000,238500,240100,241300,242900,244800,246300,247200,248000,248300,249200,250500,252500,255000,258300,262000,266000,269300,271800,275000,278800,282200,285100,288500,291600,294500,297300,299600,301800,304600,307900,311500,314900,318300,321500,324500,327100,329100,330700,332400,333800,335600,339700,343900,346700,349600,353000,356700,360600,363200,364000,364600,365900,367900,370800,374800,379100,382200,385300,389600,393500,396500,399600,402400,403400,404900,407800,410200
32059,Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,16,161000,161200,161400,161600,161800,162100,162600,163100,163800,164700,165500,166000,166500,167000,167600,168100,168700,169500,170400,171400,172800,174300,175700,176900,178100,179300,180600,181800,183000,184500,186100,187900,190000,192200,194400,196300,198200,200300,202300,204300,206400,208600,211000,213600,216400,219400,222200,224700,227200,229700,232000,234400,236700,239300,242100,245200,248500,252000,255500,258800,262200,265500,269000,272500,276100,280100,284600,289500,294800,300200,305700,311100,316500,321900,327200,332500,337900,343700,350000,357100,365900,375500,385200,394800,404400,414100,424400,435500,446600,456800,466000,474200,481900,490000,499000,509400,521300,534100,547600,561500,575100,587800,599400,609900,620100,630600,641500,653500,665800,677200,687900,698600,709000,719900,731000,741300,749600,755600,759700,764200,769400,774300,778400,781900,783800,784800,785100,784000,781800,778900,774900,771900,769900,766800,761800,755800,747900,740400,734100,729100,724200,718100,709700,701800,693800,684300,673400,663800,654800,647300,641000,636100,631600,626600,620000,614400,609200,603000,596200,590800,584800,578400,572900,569900,568900,568600,569800,560400,545200,538200,537900,532400,529400,526900,525600,526300,527000,526700,526800,525400,522500,518700,517700,522100,529900,535400,533500,522900,509200,498000,492500,493400,496500,498100,497700,495500,491900,490900,496800,505200,516200,529600,542100,556600,575200,590500,603300,619000,632100,639100,640100,641100,643900,646700,649300,654700,660800,668100,674600,678400,681200,689500,703700,720800,736300,748900,758100,767000,780900,794200,798300,797000,797800,801600,808300,815200,818900,818700,817600,817500,815400,810900,811800,820700,833400,845800,852100,854400,862000,875000,887100,897400,906700,916100,926200,935100,943000,948500,952700,960200,965400,973200,989300,1007600,1020200,1037700,1056300,1070100,1079500,1091100,1103300,1117300,1134000,1151600,1160700,1158200,1150600,1145900,1141400,1141400,1145400,1148100
276476,North Long Beach,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,46,127400,127400,127300,127100,127000,126800,126600,126500,126600,126800,126800,126700,126600,126500,126400,126400,126600,127000,127500,128200,129100,130300,131200,131900,132500,133000,133200,133400,133400,133400,133500,133600,134000,134600,135200,135600,136100,136700,137500,138200,139100,140000,141000,142100,143300,144700,146100,147300,148400,149600,150800,151900,153000,154100,155200,156500,157900,159400,160800,162100,163500,164900,166400,167800,169300,170900,172700,174500,176600,178900,181200,183600,185900,188300,190900,193600,196300,199200,202300,205600,209000,212000,215100,218500,222300,226600,231400,236600,242000,247500,252900,258500,264600,271200,278200,285900,294100,302600,311100,319600,328000,336200,344100,351500,358600,365600,372200,378700,385300,391700,398100,404600,410900,417200,423400,429100,434400,439400,444100,448800,453300,457400,460600,462500,462800,462200,461200,459800,458500,457500,456300,455000,453700,452000,449800,446500,441600,436100,430300,424300,417800,411000,403500,395100,385600,375600,365300,355500,346000,337300,328800,320600,312500,305000,297400,289500,281100,272200,264800,261100,260300,260700,261900,263100,264100,265000,265500,264500,263500,264000,264300,262800,261800,260900,259900,260000,260500,259400,258000,257100,256300,255300,254700,253900,252300,250200,248300,246400,245100,244900,245200,245900,247500,249700,251700,253800,256100,258900,261300,263700,266300,268900,273200,280400,288600,296100,302600,308000,312600,316200,318600,320300,321700,322500,323800,325800,327800,329800,332600,336300,338600,340100,342400,344500,345900,348600,351300,352700,353900,355300,356600,357700,358900,361100,363900,366800,370200,374000,378000,381800,385100,388000,390800,393800,396700,399800,402400,405600,409500,413300,415800,417700,419400,421600,424200,426800,430000,433400,436800,440200,443600,447500,451500,453800,454600,455500,456800,458500,459900,461600,464400,466900,468000,469600,471100,471700,472000,472500,471900,471400,472700,474900
274514,Mid City,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,55,170500,169900,169300,168600,168000,167400,167100,167000,167400,168000,168500,169000,169600,170400,171200,172200,173500,175000,176800,178900,181400,184300,187100,189700,192300,195000,197800,200500,203500,206500,209800,213300,217200,221300,225300,228900,232500,236000,239500,242900,246200,249400,252600,255700,258900,262100,265000,267400,269500,271500,273500,275400,277400,279600,282300,285500,289300,293600,298000,302500,307000,311600,316100,320800,325400,330200,335200,340400,345900,351600,357300,362900,368500,374100,379900,385800,391900,398300,405000,412500,420200,426900,433000,439500,446200,453100,460600,469000,478100,487600,497100,506700,516900,528400,541300,555700,571500,587600,603300,617900,630900,642200,652200,660800,669000,677100,685000,693500,703300,714200,726700,740600,755100,770100,784500,796900,807200,815300,821300,826900,832100,835700,837200,836500,832800,827500,821500,815300,810200,806000,801300,797200,793800,789700,785000,780300,774600,768600,762000,755000,748800,742600,734700,725900,716100,704300,691500,680100,670000,661300,652900,644600,637300,630400,622000,613300,604500,594400,585300,580200,578200,578000,578600,579500,576500,574400,577400,574700,565700,561900,561800,557600,553000,546300,541000,538600,537200,533000,527000,524400,525100,525000,522400,520500,519800,521100,522100,520700,520300,523900,529100,534000,539900,546800,553000,558600,564900,571800,578400,587700,597200,603100,608300,619200,632200,646200,663100,677400,683800,688100,695700,702800,709300,714900,723400,733600,742100,746100,750000,757500,765400,770600,772800,774800,779100,788600,798500,803800,810600,820300,827500,833300,842600,854100,865400,875300,883800,889900,892200,893100,893000,894500,900800,912000,924200,934500,940900,945800,950300,954300,959200,967500,975000,978100,980200,982000,986100,995100,1007300,1021100,1040200,1064900,1088200,1103900,1117800,1131000,1136900,1136700,1140300,1146600,1152700,1156300,1159200,1161100,1161600,1162600,1165000,1167800,1166700,1168900,1172800,1174900
41466,Van Nuys,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,57,143600,143100,142400,141800,141200,140600,140100,139700,139600,139600,139700,139500,139500,139500,139600,139700,140000,140500,141100,141900,143100,144400,145800,147000,148200,149400,150600,151900,153100,154500,156000,157500,159300,161200,162900,164300,165700,167000,168200,169200,170200,171200,172300,173400,174800,176400,178000,179400,180800,182200,183700,185400,187200,189200,191500,194000,196900,199900,202900,205700,208500,211100,213600,216100,218500,221100,223800,226600,229800,233200,236700,240200,243700,247400,251100,254900,258900,263200,267800,272900,278100,282800,287200,292100,297400,303300,309700,316400,323000,329700,336600,343800,351500,359700,368100,376900,386200,395900,405900,416000,425700,434700,442800,449500,455500,461400,467600,474300,481600,489500,498200,507500,516800,525900,534200,541300,547400,552900,558000,563400,568800,573500,577500,579900,580400,579500,577600,575200,572900,570900,568600,565600,561800,557300,552500,547000,540400,533800,527600,522100,517000,511700,505300,497200,486900,475500,463700,452100,440800,430200,419800,409600,399800,390400,380900,370700,359400,347800,338100,332200,329400,328100,328000,328400,329100,329800,330000,329400,331100,334400,337300,338300,339000,338900,339200,338700,336600,334000,332500,331500,330100,328600,325900,322100,319200,317400,315300,313400,313200,313500,312900,313700,316600,319800,322900,326100,328100,329800,332700,337200,341700,345900,352400,361300,369600,377000,384500,391700,398500,404500,408900,412400,415400,418400,421300,424500,428000,431500,435700,440200,442200,442400,443300,444300,445700,449400,454500,458000,461200,465200,469100,472600,477500,482700,487700,492400,496300,498500,500000,501700,503400,504700,506900,510800,515500,521500,527100,532200,538300,544600,549200,552200,554100,556100,557200,557000,558200,561100,564400,568600,572800,578600,586000,591200,593700,597000,602100,607900,612900,616600,619900,621700,622600,624600,626100,625700,624500,624100,623200,624500,627700,630600
41131,Sun Valley,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,60,134100,134100,134000,133800,133500,133300,133200,133100,133200,133500,133600,133500,133400,133200,133000,132800,132700,132700,132900,133300,134100,135000,135900,136500,137200,137800,138300,138800,139400,140000,140700,141500,142600,144000,145300,146500,147600,148800,149900,150900,151900,152900,154100,155300,156800,158600,160300,161900,163600,165400,167200,169000,170900,172700,174600,176500,178600,180800,182900,184800,186800,188700,190500,192400,194200,196100,198100,200400,203000,206000,209100,212400,215900,219500,223300,227100,231000,234900,239100,243500,247800,251800,255500,259500,263800,268400,273500,279100,285000,291100,297400,304000,310900,318400,326300,334600,343500,352600,361900,371300,380600,389600,398200,406000,413400,420400,427000,433800,440800,448200,456100,464300,472600,480900,488900,496200,502700,508500,514000,519600,525100,530000,533900,536200,536500,535900,535100,533900,532800,532000,531100,530100,528800,526900,524200,520400,515000,508900,502400,495300,487600,479300,469700,458700,446300,433400,420600,409000,398800,389600,380500,371700,362900,354700,346400,337800,328700,319200,311000,306000,303400,301700,300800,300200,300000,300100,300200,299100,298900,300200,300700,299300,298500,297200,295200,293500,292800,291800,290500,289300,287900,286500,285900,285300,284000,282200,280700,279500,278400,277300,276800,277800,280200,283200,286100,288100,289600,292100,295400,299500,303600,308200,314000,321300,328100,334200,339800,345600,350400,354500,358200,362200,364900,366600,368500,371700,375100,379000,382900,385700,387800,390500,394100,396700,399700,403900,408100,411200,414700,418200,421600,425200,428400,430700,432900,435100,437100,439200,441300,443300,444700,445300,446500,449800,454600,459400,462700,465900,470200,474700,478500,482700,487100,490600,493800,497600,502800,508000,513100,518700,523600,528700,534500,538900,541400,543300,544900,546600,548700,550900,553600,556100,558700,562700,566000,565800,564300,565500,567100,568300,570600,574000
33183,Northridge,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,61,208100,207600,207000,206400,205900,205600,205400,205300,205500,206000,206600,206900,207400,208100,209000,210100,211500,213100,215100,217400,220200,223200,226000,228600,231200,233700,236200,238800,241300,243900,246700,249500,252800,256300,259600,262700,265700,268600,271300,273700,276000,278000,280100,282300,284600,287300,289900,292300,294600,296900,299000,301100,303000,304900,306700,308700,310900,313300,315800,318100,320400,322700,324900,327200,329600,332100,335000,338200,341900,345900,350300,354900,359700,364700,370000,375500,381100,386900,393000,399400,405800,411700,417100,422500,428200,434200,440900,448300,456100,464400,473300,482900,493300,504400,516000,528400,541500,554900,568300,581100,593000,604100,614100,622500,629700,636800,643900,651300,659200,667300,676100,685400,694700,703900,712700,720600,727500,733600,738800,743600,748100,752100,755000,755600,753200,748900,744000,739100,735200,732500,729700,726100,721300,715500,708800,700600,690300,679200,667900,656700,645100,633000,619300,603900,587200,571000,556200,545300,538200,533000,527500,522500,518100,514500,510300,505100,498900,492400,487700,487000,488900,491500,494300,497000,499100,499600,499900,501200,503400,504500,502800,498400,495600,494300,493900,491800,488500,484800,482100,478600,475800,474900,475500,473900,469900,464800,460700,457000,453600,451600,451400,452800,455600,459000,461800,464100,465900,467700,470300,475500,481800,487000,492900,502500,513800,524600,534600,543200,549900,553900,555800,557900,560700,563400,567200,571700,575700,579300,582800,585900,588000,591300,596000,600100,604900,611400,616000,617200,618100,619300,621000,623300,626600,630400,634600,638100,640100,641500,642600,644900,646500,647600,650500,655800,660800,665500,668500,671600,676300,681300,685400,688400,690700,693600,696400,699600,704700,709600,712700,714600,716900,721400,726300,727800,726600,724700,722700,721800,722400,723800,727300,731100,733500,736600,739400,739800,739100,738800,738400,739400,741900,745000
34213,Sylmar,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,66,142600,142400,142100,141700,141300,140900,140600,140400,140500,140600,140700,140600,140500,140600,140700,140900,141200,141600,142200,142900,144000,145200,146300,147200,148000,148800,149600,150400,151200,152100,153000,154000,155300,156700,157900,158900,159900,160900,161900,162800,163800,164800,165900,167100,168600,170200,171800,173200,174700,176400,178100,179800,181500,183300,185100,186900,188700,190600,192400,193900,195300,196800,198300,199900,201500,203400,205500,207900,210600,213600,216700,219900,223400,227100,230900,234900,239000,243400,247900,252800,257600,262300,266800,271600,276700,282000,287700,293600,299700,305800,311900,318200,325100,332800,341200,350500,360300,370300,380200,389900,399300,408200,416700,424300,431400,438200,444700,451100,457700,464300,471400,478700,485900,493100,500300,506800,512700,518100,523200,528600,534200,539700,544800,548500,550300,550900,550800,550100,549300,548600,547700,546000,543300,540300,537000,532600,526900,520700,514300,508000,501400,494400,486100,475600,462900,449500,436300,424300,413700,404000,394200,384700,375300,366300,357200,347100,336200,325100,316200,310900,308200,306500,305400,304800,304700,304900,304600,305300,308800,312800,314100,313300,312800,312300,312100,312000,311700,310600,310100,309800,308700,307400,307200,306500,304600,302500,301100,299200,296700,295200,294700,295200,297200,300200,302600,304000,305100,306700,309300,313300,318400,322900,327600,334100,340500,346100,351800,358000,363900,368700,371900,374000,374900,375500,377100,379200,381500,384100,387400,390600,393300,395000,396100,397400,400400,404500,408200,410400,412400,414700,417300,420400,423300,426500,430500,434300,437700,441100,443500,445300,446600,448100,449600,451700,454500,457600,459600,462200,466600,471600,476500,481000,484600,487300,489600,492500,496400,501000,505700,509200,510500,512900,517400,520200,521000,521400,522000,523600,526200,528500,530900,533500,535600,538200,539600,538900,537800,538400,539300,539900,540600,542200
113886,Boyle Heights,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,67,124200,124300,124500,124600,124800,125000,125300,125600,126100,126600,127100,127400,127700,127900,128100,128200,128300,128400,128500,128600,128700,128900,128900,128800,128600,128400,128300,128100,128000,128000,128200,128600,129100,129800,130400,131100,131600,132200,132600,133000,133400,133800,134300,134800,135500,136200,136900,137400,137900,138300,138700,139000,139400,139900,140600,141300,142200,143200,144300,145300,146300,147200,148100,149000,150000,151100,152300,153800,155500,157300,159200,161000,162600,164300,166000,167600,169400,171200,173300,175800,178500,181000,183200,185300,187400,189600,192100,194900,197700,200500,203300,206200,209200,212600,216500,221000,226000,231300,236800,242400,248100,253600,258800,263400,267700,272200,277000,282400,288600,295500,303400,312500,322200,332200,341800,350600,358200,364800,371000,377200,383600,389500,394900,399300,402300,404200,405500,406500,407400,408300,409000,409200,408700,407300,405300,402800,399600,396200,392700,389200,385300,381100,376100,370000,362700,354700,347000,339100,330200,321100,312600,304100,295400,286900,278400,269200,259200,248800,239200,231600,225900,222000,219700,218700,218200,218200,218200,218200,219100,219600,217900,214200,211300,208200,204200,200200,197000,194200,191900,189200,186600,186300,187900,190700,193600,196000,197700,199700,201300,201700,201700,202800,205500,208000,210000,211300,212200,213600,215900,219200,222300,225100,229500,236000,242700,249000,254700,259300,263600,268000,271700,273300,273700,274100,275200,277000,278800,280200,282700,286100,288100,289600,291700,293000,295400,301000,306100,308600,311000,313800,316800,319800,322700,325000,326900,329600,335200,342500,348700,352600,355700,359300,362800,365700,369500,374200,378100,382800,387900,391200,393500,396600,398000,397600,397500,399400,402000,404200,407400,411000,412700,414200,417300,419200,418800,418200,419500,423200,426300,429100,433500,437900,440700,443300,445400,447300,450200,453000,452500,451100,452600,455800
